sector,n_events,n_q1,n_q4,all_AR_0,q4_AR_0,q1_AR_0,diff_AR_0,all_CAR_0_1,q4_CAR_0_1,q1_CAR_0_1,diff_CAR_0_1,all_CAR_1_3,q4_CAR_1_3,q1_CAR_1_3,diff_CAR_1_3,all_CAR_minus1_1,q4_CAR_minus1_1,q1_CAR_minus1_1,diff_CAR_minus1_1
Basic Materials,711,151,167,-0.001315237952163705,0.00734315749939698,-0.008284027286017789,0.01562718478541477,-0.00025455821966250135,0.010419316808700977,-0.008834803899730502,0.01925412070843148,0.006330721381109608,0.012864093420233454,0.009173682892939811,0.0036904105272936426,0.001921150346158364,0.012309207771069794,-0.004126554052558622,0.016435761823628416
Technology,2270,656,603,-0.00019920672575123727,0.0024624706399742147,0.0018056824668527718,0.0006567881731214429,-0.0006782678728093137,0.011987433346065626,-0.005646923548109543,0.01763435689417517,0.0011930982623023449,0.009903069294804848,-0.004002303530595763,0.013905372825400612,-0.00034937917438561384,0.013239893621949442,-0.0040943685395968595,0.0173342621615463
Utilities,419,108,99,-0.003914500576115388,0.002003479509483714,-0.008958361813416145,0.01096184132289986,-0.004175977439324682,0.0053953655248937925,-0.011416771752370377,0.016812137277264168,0.001066149511887499,0.002046381918068977,-0.0014690502386261119,0.003515432156695089,-0.005184897029552114,0.0028232359825854357,-0.011600343697066761,0.014423579679652196
Communication Services,695,147,206,-0.00085132195929645,-0.001256381277377402,-0.0027413231434161717,0.0014849418660387696,0.002550220891310867,0.013757248889842632,0.0006784725515809377,0.013078776338261693,0.006061117734944248,0.01395906917657884,0.006299943539501839,0.007659125637077001,0.00293929719554681,0.014367728310494904,0.005613180660842811,0.008754547649652094
Industrials,1813,503,411,-0.0015159591467071765,0.006232405503726335,-0.0031135335490612478,0.009345939052787583,-0.0005565686253245954,0.009354978046403215,-0.003638923091016225,0.012993901137419439,0.004100829921460775,0.005873864876275977,0.0022796716446741422,0.0035941932316018344,0.00031768307373191616,0.009309109500815513,-0.003555423150670231,0.012864532651485745
Real Estate,974,175,200,0.0002997611686673872,0.003713280670042096,-0.0019995828358646355,0.005712863505906732,0.0017261225216758712,0.009859405961108698,-0.0001887607958222778,0.010048166756930975,0.001272676457722231,0.0025524871129098104,0.0008179079642227549,0.0017345791486870555,0.005711290546777349,0.007920073591458458,-0.0008813650715087374,0.008801438662967195
Financial Services,1757,444,393,-0.0003221119364297098,0.003752763212331395,0.0003955053340549582,0.003357257878276437,0.0018516852270225597,0.0075636967949550445,-0.0016773313946659588,0.009241028189621003,0.005295172611268292,0.0035166337206488586,0.0023633113795085646,0.001153322341140294,0.002262863043861986,0.007419001856305701,0.001512383924315808,0.0059066179319898935
Healthcare,1804,412,411,-0.0019851928333984386,0.0019516012787375902,-0.003589997207725444,0.005541598486463035,-0.004339377682690933,0.002300565083730714,-0.00492268735754127,0.007223252441271984,-0.00325509214070126,-0.0003765558207889668,-0.004630863721462289,0.004254307900673322,-0.0054874052941991745,0.002002231674237889,-0.00648410353854127,0.00848633521277916
Consumer Cyclical,1921,513,582,0.00032995978723504744,0.004779935860013264,0.004118393958659857,0.0006615419013534067,0.003014405202279856,0.008834286885338806,0.002486568218040237,0.006347718667298569,0.0038297935852494754,0.002349960000987343,0.0009821916972559378,0.0013677683037314052,0.004441389892498059,0.00990688126227097,0.003390370292174972,0.006516510970095998
Consumer Defensive,747,192,222,-0.001178960220919307,0.003892348018394721,0.0009765467184206186,0.0029158012999741024,-0.0032858507345240196,0.004413647068678173,0.001128991908181851,0.003284655160496322,-0.0019973325010451803,0.00019651620517019796,0.002398556363494365,-0.002202040158324167,-0.001746475798845495,0.007326365155305054,0.0009470681901667663,0.0063792969651382874
Energy,631,137,136,-0.005814387670058819,-0.009314003675378501,-0.00506517530500347,-0.004248828370375031,-0.004515274188937721,-0.009168426798942395,-0.004910542253142465,-0.00425788454579993,0.005553246968956475,-0.0014539250779412771,0.015173343468953623,-0.0166272685468949,-0.0003483166236159081,-0.008371719690355531,-0.0007674742897018829,-0.007604245400653648
