ticker,sector,industry,earnings_date,sentiment_score,financial_quality_score,valuation_score,leverage_score,forecast_score,risk_score_combined,predicted_return,lower_bound,upper_bound,interval_width,sentiment_pct,financial_pct,forecast_pct,valuation_pct,leverage_pct,risk_pct,overall_score,overall_rank_in_sector,peer_count,rank_percentile,recommendation,sector_avg_sentiment,sector_avg_financial_quality,sector_avg_forecast,sector_avg_risk,sector_avg_overall_score,sentiment_vs_sector,financial_vs_sector,forecast_vs_sector,risk_vs_sector,return_20d,market_cap,sector_raw,industry_raw,quarter,forecast_confidence,downside_risk,recommendation_score,quarter_rank,is_top10
HSBC,Financial Services,Banks - Diversified,2022-02-22,0.422927830832571,0.195988,-9.445432,-72.097,0.2397504009601148,0.4346458339621749,0.0268391038308056,-0.0236528213821284,0.0882922013286765,0.1119450227108049,0.7913669064748201,0.5935251798561151,0.9856115107913668,0.5827338129496403,0.4442446043165468,0.6366906474820144,0.6823741007194245,21.0,278,0.9280575539568344,Hold,0.2794750716129462,0.2755062445651151,0.0153198208202232,0.4509297549183477,0.5014388489208633,0.1434527592196248,-0.0795182445651151,0.0115192830105823,-0.0162839209561728,-0.0538843921505054,306404196352.0,Financial Services,Banks - Diversified,2022Q1,8.932876539824413,0.050491925212934,0.7409958385553348,1.0,True
STNG,Energy,Oil & Gas Midstream,2022-02-14,0.1841171682378337,0.37701199,-11.881506,-17.044,0.0788527873033544,0.401211195026731,0.0306601509848025,-0.1287077952435728,0.2601189435508703,0.3888267387944432,0.3265306122448979,0.8979591836734694,0.9489795918367347,0.5816326530612245,0.8877551020408163,0.6020408163265306,0.68265306122449,8.0,98,0.9285714285714286,Hold,0.2612681571950014,0.1736823675338775,0.0091151599791071,0.4266545525131396,0.5040816326530612,-0.0771509889571677,0.2033296224661225,0.0215449910056953,-0.0254433574864086,0.1498429782039316,3792861184.0,Energy,Oil & Gas Midstream,2022Q1,2.5718329744181596,0.1593679462283753,0.6820602620258884,2.0,True
NBTB,Financial Services,Banks - Regional,2022-01-27,0.3630633885569937,0.1574799998,-10.392132,-72.097,0.1235250680520838,0.4112019154159339,0.0261170081225938,-0.0755516118006345,0.1358782219114479,0.2114298337120824,0.6654676258992805,0.3417266187050359,0.8669064748201439,0.4244604316546763,0.4442446043165468,0.5503597122302158,0.5570143884892087,94.0,278,0.6654676258992807,Hold,0.2794750716129462,0.2755062445651151,0.0153198208202232,0.4509297549183477,0.5014388489208633,0.0835883169440475,-0.1180262447651151,0.0107971873023705,-0.0397278395024137,0.0057516797820562,2455403008.0,Financial Services,Banks - Regional,2022Q1,4.72967912221241,0.10166861992322829,0.6790136475997258,3.0,True
MTB,Financial Services,Banks - Regional,2022-01-20,0.1087324548623722,0.1640960008,-10.806963,-72.097,0.2524861977181243,0.3857871086214632,0.0500412802007488,-0.0428095159418289,0.1553836057685977,0.1981931217104267,0.1726618705035971,0.381294964028777,0.9892086330935252,0.3597122302158273,0.4442446043165468,0.4532374100719424,0.4714028776978418,170.0,278,0.3920863309352518,Hold,0.2794750716129462,0.2755062445651151,0.0153198208202232,0.4509297549183477,0.5014388489208633,-0.1707426167505739,-0.1114102437651151,0.0347214593805255,-0.0651426462968844,0.0980463138691345,33013108736.0,Financial Services,Banks - Regional,2022Q1,5.045558321154747,0.0928507961425777,0.6721992646498778,4.0,True
HDB,Financial Services,Banks - Regional,2022-01-15,0.2869197727881186,0.165790004,-15.810411,-72.097,0.1014552055934935,0.3438010961253087,0.0208473998563292,-0.0517749737737283,0.153707813227401,0.2054827870011293,0.5143884892086331,0.3884892086330935,0.8093525179856115,0.1223021582733813,0.4442446043165468,0.3309352517985611,0.5111510791366907,136.0,278,0.5143884892086331,Hold,0.2794750716129462,0.2755062445651151,0.0153198208202232,0.4509297549183477,0.5014388489208633,0.0074447011751724,-0.1097162405651151,0.0055275790361059,-0.107128658793039,-0.0699575122261887,119536254976.0,Financial Services,Banks - Regional,2022Q1,4.866563998037004,0.0726223736300575,0.6509955615873038,5.0,True
AXS,Financial Services,Insurance - Specialty,2022-01-27,0.1485907856549601,0.1739099999999999,-6.7259893,-23.409,0.0883913940412628,0.4424782691786499,0.017603281699303,-0.0973596623677654,0.1017908714465495,0.199150533814315,0.2482014388489208,0.4676258992805755,0.7697841726618705,0.8669064748201439,0.8848920863309353,0.658273381294964,0.5422661870503597,108.0,278,0.6151079136690647,Hold,0.2794750716129462,0.2755062445651151,0.0153198208202232,0.4509297549183477,0.5014388489208633,-0.130884285957986,-0.1015962445651151,0.0022834608790797,-0.0084514857396977,0.0251698638136381,7196861952.0,Financial Services,Insurance - Specialty,2022Q1,5.021302024881116,0.1149629440670684,0.6503039724139842,6.0,True
GFI,Basic Materials,Gold,2022-02-17,0.1361051455674456,0.442366,-6.281939,-37.143,0.0313070780131809,0.3532629130715516,0.0113964328292062,-0.1405376986914613,0.2234822688484686,0.36401996753993,0.1495327102803738,0.97196261682243,0.7570093457943925,0.8504672897196262,0.6448598130841121,0.3738317757009345,0.6439252336448598,18.0,107,0.8411214953271028,Hold,0.2821841289930048,0.1394136077375701,0.0133285877985363,0.3960616588256828,0.5037383177570093,-0.1460789834255591,0.3029523922624298,-0.0019321549693301,-0.0427987457541312,0.2320326897021156,31742916608.0,Basic Materials,Gold,2022Q1,2.747094506006192,0.15193413152066748,0.6295142705513029,7.0,True
SBSW,Basic Materials,Other Precious Metals & Mining,2022-03-03,0.2134682946969778,0.0564819969999999,-2.5892365,-99.405,0.0551896128708416,0.8254680660035403,0.0213206089232338,-0.1591767644773342,0.2271378448227292,0.3863146093000634,0.3738317757009345,0.2710280373831775,0.8504672897196262,0.9439252336448598,0.2523364485981308,0.9439252336448598,0.4565420560747663,68.0,107,0.3738317757009346,Hold,0.2821841289930048,0.1394136077375701,0.0133285877985363,0.3960616588256828,0.5037383177570093,-0.0687158342960269,-0.0829316107375701,0.0079920211246974,0.4294064071778574,-0.1338498289578447,6937121280.0,Basic Materials,Other Precious Metals & Mining,2022Q1,2.588557065586415,0.18049737340056798,0.5676505086666727,8.0,True
INFY,Technology,Information Technology Services,2022-01-12,0.6178250437346549,0.2268239979999999,-14.081104,-9.827,0.0229153852677705,0.2607205966694328,0.006430248697304,-0.1306595467656784,0.1499478140436791,0.2806073608093576,0.956140350877193,0.716374269005848,0.3099415204678362,0.6228070175438597,0.7690058479532164,0.3011695906432748,0.6891812865497076,30.0,342,0.9152046783625732,Hold,0.2819207506498476,-0.2704238544600766,0.00835190977777,0.4247136966433791,0.5011695906432748,0.3359042930848072,0.4972478524600766,-0.001921661080466,-0.1639930999739463,-0.1091262124056595,49554923520.0,Technology,Information Technology Services,2022Q1,3.563685690318364,0.1370897954629824,0.5057495117324913,9.0,True
BBVA,Financial Services,Banks - Diversified,2022-02-03,0.4317895005741235,0.2167979981999999,-9.370945,-72.097,0.026972613918984,0.5164184823223114,0.0044045708145766,-0.0761939900685544,0.0871028952534365,0.163296885321991,0.8093525179856115,0.6726618705035972,0.6654676258992805,0.5899280575539568,0.4442446043165468,0.8381294964028777,0.6232014388489209,48.0,278,0.8309352517985611,Hold,0.2794750716129462,0.2755062445651151,0.0153198208202232,0.4509297549183477,0.5014388489208633,0.1523144289611773,-0.0587082463651151,-0.0109152500056466,0.0654887274039636,-0.1823801373399831,125208952832.0,Financial Services,Banks - Diversified,2022Q1,6.12377801481139,0.080598560883131,0.5039485254914452,10.0,True
