feature,importance
momentum_60d,225
price_position_52w,207
volatility_spread,194
volatility_30d,192
sentiment_surprise,146
risk_adjusted_momentum_30d,130
eps_revision,124
mgmt_neutral_ratio,117
momentum_5d,102
beta,100
gross_margin,96
qa_sentiment_volatility,95
sentiment_momentum_30d,94
debt_to_equity,87
qa_sentiment,86
mgmt_sentiment_volatility,85
momentum_10d,84
mgmt_sentiment,84
risk_score,82
qa_neutral_ratio,78
return_on_assets,76
momentum_30d,73
negative_ratio,73
sentiment_momentum_60d,66
net_sentiment,62
margin_leverage_ratio,59
market_cap,59
eps_forward,59
confidence_uncertainty_gap,55
forward_pe,54
operating_margin,54
volatility_10d,52
qa_negative_ratio,51
cost_cutting_score,50
profit_margin,49
confidence_risk_ratio,47
revenue,44
confidence_score,39
sentiment_volatility_30d,39
uncertainty_score,34
pe_ratio,31
risk_uncertainty_combo,29
quality_valuation_ratio,26
sector_Financial Services,23
return_on_equity,21
sector_Utilities,16
sector_Healthcare,15
sector_Energy,11
sector_Real Estate,8
sector_Consumer Cyclical,5
sector_Consumer Defensive,4
sector_Technology,3
sector_Industrials,1
sector_Unknown,0
sector_Communication Services,0
log_market_cap,0
